ID	Query	Description
1	乘法口诀	查找常用的九九乘法口诀表
2	春雨的诗句	查找有关春雨的诗句
3	睡觉前喝杯牛奶的好处	查找睡前喝牛奶的好处（2点以上）
4	格言精粹	查找三条格言名句
5	古希腊建筑风格	查找古希腊建筑风格的主要特点
6	军训总结	查找一篇大学生军训总结
7	qq加速器下载（网游）	找到qq网游加速器下载资源
8	第九区	查找第九区电影的在线观看资源
9	三字经	查找三字经的全文
10	武汉三步踩	查找武汉三步踩的在线教学视频
11	刀剑如梦（music）	查找音乐刀剑如梦在线播放资源
12	遮天	查找遮天小说在线阅读资源
13	地铁线路图北京	查找北京地铁的线路图
14	酒柜图片大全	查找一张好看的酒柜图片
15	空间皮肤素材	查找一张好看的空间背景图片
16	扣篮视频	查找关于扣篮的视频资源
17	卤蛋的做法	查找卤蛋的制作流程
18	耐克篮球鞋	查找三张耐克篮球鞋的图片
19	iTunes下载	查找itunes下载资源
20	91助手	查找91助手下载资源
21	华数TV	查找华数TV的下载资源
22	风行	查找风行的下载资源
23	浏览器下载	查找一个好用的网页浏览器下载资源
24	人人桌面	查找人人桌面下载资源
25	北京莫斯科建高铁	查找莫斯科建高铁相关的新闻资讯
26	地球磁场或将颠倒	查找地球磁场颠倒的相关新闻资讯
27	腾讯大秦网被关停	查找腾讯大秦网被关停的原因
28	埃博拉病毒变异	查找埃博拉病毒变异的最新资讯
29	中国城市竞争力	查找中国城市竞争力排行榜
30	上海第三机场	查找上海第三机场的候选地址

